month,mean_temp_c
2025-03-01,2.415
2025-02-01,-5.6
2025-01-01,-6.329032258064517
2024-12-01,-1.0967741935483872
2024-11-01,5.841379310344828
2024-10-01,10.933333333333334
2024-09-01,17.957142857142852
2024-08-01,20.10344827586207
2024-07-01,21.27777777777778
2024-06-01,19.20357142857143
2024-05-01,15.396551724137932
2024-04-01,8.144444444444444
2024-03-01,3.7880000000000007
2024-02-01,-0.02222222222222221
2024-01-01,-2.8370370370370375
2023-12-01,2.6199999999999997
2023-11-01,3.3034482758620682
2023-10-01,11.796666666666665
2023-09-01,17.192307692307693
2023-08-01,18.75333333333333
2023-07-01,20.843333333333327
2023-06-01,18.02758620689655
2023-05-01,12.558620689655172
2023-04-01,8.189655172413794
2023-03-01,0.46296296296296285
2023-02-01,-0.3499999999999999
2023-01-01,-1.193103448275862
2022-12-01,-0.7357142857142855
2022-11-01,4.614285714285714
2022-10-01,9.38709677419355
2022-09-01,16.23793103448276
2022-08-01,21.225806451612907
2022-07-01,21.009677419354837
2022-06-01,18.366666666666667
2022-05-01,15.158620689655173
2022-04-01,5.933333333333334
2022-03-01,0.9100000000000001
2022-02-01,-4.942857142857142
2022-01-01,-8.635483870967741
