Date,Irradiance (kWh/m^2/day)
2015-01-01T00:00:00.000000,0.74
2015-01-02T00:00:00.000000,1.84
2015-01-03T00:00:00.000000,0.41
2015-01-04T00:00:00.000000,0.72
2015-01-05T00:00:00.000000,1.6
2015-01-06T00:00:00.000000,1.45
2015-01-07T00:00:00.000000,1.56
2015-01-08T00:00:00.000000,1.19
2015-01-09T00:00:00.000000,1.62
2015-01-10T00:00:00.000000,1.77
2015-01-11T00:00:00.000000,1.41
2015-01-12T00:00:00.000000,0.83
2015-01-13T00:00:00.000000,2.06
2015-01-14T00:00:00.000000,2.14
2015-01-15T00:00:00.000000,1.63
2015-01-16T00:00:00.000000,2.29
2015-01-17T00:00:00.000000,1.44
2015-01-18T00:00:00.000000,0.93
2015-01-19T00:00:00.000000,1.7
2015-01-20T00:00:00.000000,2.51
2015-01-21T00:00:00.000000,1.5
2015-01-22T00:00:00.000000,2.57
2015-01-23T00:00:00.000000,2.51
2015-01-24T00:00:00.000000,0.64
2015-01-25T00:00:00.000000,2.86
2015-01-26T00:00:00.000000,1.8
2015-01-27T00:00:00.000000,2.26
2015-01-28T00:00:00.000000,2.9
2015-01-29T00:00:00.000000,0.29
2015-01-30T00:00:00.000000,2.64
2015-01-31T00:00:00.000000,1.82
2015-02-01T00:00:00.000000,0.72
2015-02-02T00:00:00.000000,1.65
2015-02-03T00:00:00.000000,1.99
2015-02-04T00:00:00.000000,0.47
2015-02-05T00:00:00.000000,2.95
2015-02-06T00:00:00.000000,2.17
2015-02-07T00:00:00.000000,0.68
2015-02-08T00:00:00.000000,0.38
2015-02-09T00:00:00.000000,1.12
2015-02-10T00:00:00.000000,2.09
2015-02-11T00:00:00.000000,1.22
2015-02-12T00:00:00.000000,3.16
2015-02-13T00:00:00.000000,2.58
2015-02-14T00:00:00.000000,1.59
2015-02-15T00:00:00.000000,2.43
2015-02-16T00:00:00.000000,3.13
2015-02-17T00:00:00.000000,2.52
2015-02-18T00:00:00.000000,1.97
2015-02-19T00:00:00.000000,3.11
2015-02-20T00:00:00.000000,2.91
2015-02-21T00:00:00.000000,0.82
2015-02-22T00:00:00.000000,1.78
2015-02-23T00:00:00.000000,2.7
2015-02-24T00:00:00.000000,2.62
2015-02-25T00:00:00.000000,3.47
2015-02-26T00:00:00.000000,2.73
2015-02-27T00:00:00.000000,3.7
2015-02-28T00:00:00.000000,3.39
2015-03-01T00:00:00.000000,1.71
2015-03-02T00:00:00.000000,2.82
2015-03-03T00:00:00.000000,0.56
2015-03-04T00:00:00.000000,2.1
2015-03-05T00:00:00.000000,3.3
2015-03-06T00:00:00.000000,3.73
2015-03-07T00:00:00.000000,2.12
2015-03-08T00:00:00.000000,3.69
2015-03-09T00:00:00.000000,4.83
2015-03-10T00:00:00.000000,1.83
2015-03-11T00:00:00.000000,4.83
2015-03-12T00:00:00.000000,5.15
2015-03-13T00:00:00.000000,3.91
2015-03-14T00:00:00.000000,1.58
2015-03-15T00:00:00.000000,3.66
2015-03-16T00:00:00.000000,2.66
2015-03-17T00:00:00.000000,5.21
2015-03-18T00:00:00.000000,4.78
2015-03-19T00:00:00.000000,5.52
2015-03-20T00:00:00.000000,5.08
2015-03-21T00:00:00.000000,3.54
2015-03-22T00:00:00.000000,5.79
2015-03-23T00:00:00.000000,5.99
2015-03-24T00:00:00.000000,6.08
2015-03-25T00:00:00.000000,1.05
2015-03-26T00:00:00.000000,1.58
