Date,Irradiance (kWh/m^2/day)
2017-01-01T00:00:00.000000,2.19
2017-01-02T00:00:00.000000,1.37
2017-01-03T00:00:00.000000,0.4
2017-01-04T00:00:00.000000,0.88
2017-01-05T00:00:00.000000,1.12
2017-01-06T00:00:00.000000,2.33
2017-01-07T00:00:00.000000,1.71
2017-01-08T00:00:00.000000,2.16
2017-01-09T00:00:00.000000,1.62
2017-01-10T00:00:00.000000,0.43
2017-01-11T00:00:00.000000,1.63
2017-01-12T00:00:00.000000,0.36
2017-01-13T00:00:00.000000,1.88
2017-01-14T00:00:00.000000,1.0
2017-01-15T00:00:00.000000,1.18
2017-01-16T00:00:00.000000,2.04
2017-01-17T00:00:00.000000,0.64
2017-01-18T00:00:00.000000,1.29
2017-01-19T00:00:00.000000,1.4
2017-01-20T00:00:00.000000,0.73
2017-01-21T00:00:00.000000,1.32
2017-01-22T00:00:00.000000,1.2
2017-01-23T00:00:00.000000,0.93
2017-01-24T00:00:00.000000,1.04
2017-01-25T00:00:00.000000,1.29
2017-01-26T00:00:00.000000,1.08
2017-01-27T00:00:00.000000,1.55
2017-01-28T00:00:00.000000,0.6
2017-01-29T00:00:00.000000,1.4
2017-01-30T00:00:00.000000,2.83
2017-01-31T00:00:00.000000,1.38
2017-02-01T00:00:00.000000,1.75
2017-02-02T00:00:00.000000,1.83
2017-02-03T00:00:00.000000,2.12
2017-02-04T00:00:00.000000,2.32
2017-02-05T00:00:00.000000,0.79
2017-02-06T00:00:00.000000,1.77
2017-02-07T00:00:00.000000,0.49
2017-02-08T00:00:00.000000,1.84
2017-02-09T00:00:00.000000,3.05
2017-02-10T00:00:00.000000,1.31
2017-02-11T00:00:00.000000,1.34
2017-02-12T00:00:00.000000,0.75
2017-02-13T00:00:00.000000,1.63
2017-02-14T00:00:00.000000,2.49
2017-02-15T00:00:00.000000,1.27
2017-02-16T00:00:00.000000,3.55
2017-02-17T00:00:00.000000,3.58
2017-02-18T00:00:00.000000,3.84
