Date,Irradiance (kWh/m^2/day)
2019-01-01T00:00:00.000000,1.63
2019-01-02T00:00:00.000000,1.09
2019-01-03T00:00:00.000000,0.68
2019-01-04T00:00:00.000000,2.18
2019-01-05T00:00:00.000000,0.9
2019-01-06T00:00:00.000000,1.66
2019-01-07T00:00:00.000000,0.52
2019-01-08T00:00:00.000000,0.89
2019-01-09T00:00:00.000000,1.43
2019-01-10T00:00:00.000000,2.17
2019-01-11T00:00:00.000000,2.28
2019-01-12T00:00:00.000000,1.35
2019-01-13T00:00:00.000000,2.06
2019-01-14T00:00:00.000000,2.01
2019-01-15T00:00:00.000000,0.8
2019-01-16T00:00:00.000000,2.19
2019-01-17T00:00:00.000000,1.53
2019-01-18T00:00:00.000000,0.79
2019-01-19T00:00:00.000000,0.78
2019-01-20T00:00:00.000000,2.32
2019-01-21T00:00:00.000000,2.41
2019-01-22T00:00:00.000000,1.14
2019-01-23T00:00:00.000000,0.82
2019-01-24T00:00:00.000000,1.22
2019-01-25T00:00:00.000000,2.12
2019-01-26T00:00:00.000000,2.5
2019-01-27T00:00:00.000000,1.94
2019-01-28T00:00:00.000000,1.02
2019-01-29T00:00:00.000000,2.07
2019-01-30T00:00:00.000000,1.89
2019-01-31T00:00:00.000000,2.43
2019-02-01T00:00:00.000000,2.64
2019-02-02T00:00:00.000000,1.04
2019-02-03T00:00:00.000000,1.16
2019-02-04T00:00:00.000000,2.02
2019-02-05T00:00:00.000000,1.66
2019-02-06T00:00:00.000000,0.58
2019-02-07T00:00:00.000000,1.08
2019-02-08T00:00:00.000000,1.94
2019-02-09T00:00:00.000000,2.45
2019-02-10T00:00:00.000000,1.94
2019-02-11T00:00:00.000000,1.45
2019-02-12T00:00:00.000000,0.8
2019-02-13T00:00:00.000000,1.64
2019-02-14T00:00:00.000000,2.08
2019-02-15T00:00:00.000000,1.57
2019-02-16T00:00:00.000000,3.19
2019-02-17T00:00:00.000000,1.53
2019-02-18T00:00:00.000000,2.7
2019-02-19T00:00:00.000000,2.41
2019-02-20T00:00:00.000000,1.56
2019-02-21T00:00:00.000000,1.54
2019-02-22T00:00:00.000000,2.67
2019-02-23T00:00:00.000000,2.94
2019-02-24T00:00:00.000000,1.31
2019-02-25T00:00:00.000000,2.33
2019-02-26T00:00:00.000000,2.8
2019-02-27T00:00:00.000000,1.03
2019-02-28T00:00:00.000000,2.96
2019-03-01T00:00:00.000000,3.24
2019-03-02T00:00:00.000000,1.45
2019-03-03T00:00:00.000000,2.34
2019-03-04T00:00:00.000000,2.59
2019-03-05T00:00:00.000000,2.16
2019-03-06T00:00:00.000000,2.72
2019-03-07T00:00:00.000000,2.78
2019-03-08T00:00:00.000000,3.79
2019-03-09T00:00:00.000000,3.49
2019-03-10T00:00:00.000000,0.99
2019-03-11T00:00:00.000000,1.45
2019-03-12T00:00:00.000000,4.68
2019-03-13T00:00:00.000000,1.56
2019-03-14T00:00:00.000000,1.13
2019-03-15T00:00:00.000000,1.5
2019-03-16T00:00:00.000000,3.26
2019-03-17T00:00:00.000000,4.45
2019-03-18T00:00:00.000000,4.17
2019-03-19T00:00:00.000000,4.18
2019-03-20T00:00:00.000000,5.05
2019-03-21T00:00:00.000000,1.91
2019-03-22T00:00:00.000000,3.13
2019-03-23T00:00:00.000000,5.91
2019-03-24T00:00:00.000000,3.02
2019-03-25T00:00:00.000000,6.04
2019-03-26T00:00:00.000000,6.12
2019-03-27T00:00:00.000000,6.01
2019-03-28T00:00:00.000000,2.26
2019-03-29T00:00:00.000000,5.21
2019-03-30T00:00:00.000000,0.96
2019-03-31T00:00:00.000000,3.21
2019-04-01T00:00:00.000000,5.77
2019-04-02T00:00:00.000000,3.65
2019-04-03T00:00:00.000000,4.92
2019-04-04T00:00:00.000000,5.48
2019-04-05T00:00:00.000000,1.46
2019-04-06T00:00:00.000000,4.18
2019-04-07T00:00:00.000000,3.7
2019-04-08T00:00:00.000000,3.36
2019-04-09T00:00:00.000000,3.75
2019-04-10T00:00:00.000000,4.16
2019-04-11T00:00:00.000000,1.57
2019-04-12T00:00:00.000000,2.59
2019-04-13T00:00:00.000000,6.23
2019-04-14T00:00:00.000000,1.1
2019-04-15T00:00:00.000000,4.29
2019-04-16T00:00:00.000000,2.21
2019-04-17T00:00:00.000000,6.47
2019-04-18T00:00:00.000000,3.04
2019-04-19T00:00:00.000000,0.97
2019-04-20T00:00:00.000000,1.73
2019-04-21T00:00:00.000000,2.81
2019-04-22T00:00:00.000000,5.65
2019-04-23T00:00:00.000000,2.42
2019-04-24T00:00:00.000000,5.72
2019-04-25T00:00:00.000000,5.36
2019-04-26T00:00:00.000000,1.81
2019-04-27T00:00:00.000000,3.84
2019-04-28T00:00:00.000000,7.46
2019-04-29T00:00:00.000000,3.03
2019-04-30T00:00:00.000000,3.99
2019-05-01T00:00:00.000000,2.4
2019-05-02T00:00:00.000000,3.58
2019-05-03T00:00:00.000000,2.84
2019-05-04T00:00:00.000000,2.75
2019-05-05T00:00:00.000000,7.3
2019-05-06T00:00:00.000000,5.75
2019-05-07T00:00:00.000000,4.24
2019-05-08T00:00:00.000000,7.88
2019-05-09T00:00:00.000000,3.59
2019-05-10T00:00:00.000000,2.69
2019-05-11T00:00:00.000000,5.66
2019-05-12T00:00:00.000000,2.34
2019-05-13T00:00:00.000000,2.3
2019-05-14T00:00:00.000000,4.01
2019-05-15T00:00:00.000000,5.06
2019-05-16T00:00:00.000000,4.63
2019-05-17T00:00:00.000000,7.06
2019-05-18T00:00:00.000000,4.65
2019-05-19T00:00:00.000000,5.85
2019-05-20T00:00:00.000000,4.1
2019-05-21T00:00:00.000000,8.31
2019-05-22T00:00:00.000000,2.71
2019-05-23T00:00:00.000000,4.27
2019-05-24T00:00:00.000000,6.03
2019-05-25T00:00:00.000000,3.94
2019-05-26T00:00:00.000000,6.47
2019-05-27T00:00:00.000000,7.01
2019-05-28T00:00:00.000000,1.69
2019-05-29T00:00:00.000000,3.51
2019-05-30T00:00:00.000000,4.58
2019-05-31T00:00:00.000000,6.74
2019-06-01T00:00:00.000000,4.7
2019-06-02T00:00:00.000000,6.22
2019-06-03T00:00:00.000000,8.25
2019-06-04T00:00:00.000000,3.06
2019-06-05T00:00:00.000000,2.1
2019-06-06T00:00:00.000000,7.65
2019-06-07T00:00:00.000000,8.41
2019-06-08T00:00:00.000000,8.48
2019-06-09T00:00:00.000000,6.75
2019-06-10T00:00:00.000000,2.42
2019-06-11T00:00:00.000000,7.87
2019-06-12T00:00:00.000000,7.98
2019-06-13T00:00:00.000000,1.85
2019-06-14T00:00:00.000000,7.41
2019-06-15T00:00:00.000000,2.55
2019-06-16T00:00:00.000000,4.4
2019-06-17T00:00:00.000000,5.93
2019-06-18T00:00:00.000000,7.06
2019-06-19T00:00:00.000000,6.29
2019-06-20T00:00:00.000000,3.41
2019-06-21T00:00:00.000000,7.56
2019-06-22T00:00:00.000000,8.45
2019-06-23T00:00:00.000000,8.45
2019-06-24T00:00:00.000000,5.01
2019-06-25T00:00:00.000000,7.08
2019-06-26T00:00:00.000000,7.62
2019-06-27T00:00:00.000000,7.3
2019-06-28T00:00:00.000000,4.97
2019-06-29T00:00:00.000000,6.64
2019-06-30T00:00:00.000000,8.42
2019-07-01T00:00:00.000000,7.63
2019-07-02T00:00:00.000000,3.77
2019-07-03T00:00:00.000000,7.54
2019-07-04T00:00:00.000000,7.43
2019-07-05T00:00:00.000000,6.69
2019-07-06T00:00:00.000000,5.08
2019-07-07T00:00:00.000000,7.89
2019-07-08T00:00:00.000000,8.03
2019-07-09T00:00:00.000000,7.0
2019-07-10T00:00:00.000000,7.52
2019-07-11T00:00:00.000000,5.32
2019-07-12T00:00:00.000000,4.56
2019-07-13T00:00:00.000000,6.45
2019-07-14T00:00:00.000000,8.18
2019-07-15T00:00:00.000000,7.25
2019-07-16T00:00:00.000000,5.65
2019-07-17T00:00:00.000000,4.19
2019-07-18T00:00:00.000000,6.22
2019-07-19T00:00:00.000000,4.36
2019-07-20T00:00:00.000000,5.84
2019-07-21T00:00:00.000000,6.47
2019-07-22T00:00:00.000000,4.2
2019-07-23T00:00:00.000000,7.14
2019-07-24T00:00:00.000000,7.13
2019-07-25T00:00:00.000000,6.99
2019-07-26T00:00:00.000000,6.66
2019-07-27T00:00:00.000000,5.95
2019-07-28T00:00:00.000000,5.96
2019-07-29T00:00:00.000000,5.99
2019-07-30T00:00:00.000000,5.02
2019-07-31T00:00:00.000000,7.1
2019-08-01T00:00:00.000000,7.26
2019-08-02T00:00:00.000000,7.38
2019-08-03T00:00:00.000000,6.58
2019-08-04T00:00:00.000000,6.99
2019-08-05T00:00:00.000000,6.52
2019-08-06T00:00:00.000000,3.44
2019-08-07T00:00:00.000000,5.42
2019-08-08T00:00:00.000000,4.83
2019-08-09T00:00:00.000000,6.05
2019-08-10T00:00:00.000000,6.61
2019-08-11T00:00:00.000000,6.3
2019-08-12T00:00:00.000000,4.18
2019-08-13T00:00:00.000000,6.27
2019-08-14T00:00:00.000000,6.94
2019-08-15T00:00:00.000000,4.43
2019-08-16T00:00:00.000000,5.63
2019-08-17T00:00:00.000000,4.66
2019-08-18T00:00:00.000000,4.77
2019-08-19T00:00:00.000000,6.26
2019-08-20T00:00:00.000000,5.96
2019-08-21T00:00:00.000000,5.67
2019-08-22T00:00:00.000000,5.87
2019-08-23T00:00:00.000000,5.73
2019-08-24T00:00:00.000000,6.22
2019-08-25T00:00:00.000000,6.18
2019-08-26T00:00:00.000000,5.75
2019-08-27T00:00:00.000000,1.49
2019-08-28T00:00:00.000000,5.97
2019-08-29T00:00:00.000000,6.25
2019-08-30T00:00:00.000000,6.15
2019-08-31T00:00:00.000000,6.02
2019-09-01T00:00:00.000000,2.21
2019-09-02T00:00:00.000000,3.82
2019-09-03T00:00:00.000000,3.85
2019-09-04T00:00:00.000000,3.64
2019-09-05T00:00:00.000000,6.28
2019-09-06T00:00:00.000000,3.0
