Date,Irradiance (kWh/m^2/day)
2024-01-01T00:00:00.000000,0.88
2024-01-02T00:00:00.000000,1.28
2024-01-03T00:00:00.000000,0.78
2024-01-04T00:00:00.000000,2.35
2024-01-05T00:00:00.000000,0.85
2024-01-06T00:00:00.000000,0.73
2024-01-07T00:00:00.000000,1.17
2024-01-08T00:00:00.000000,0.96
2024-01-09T00:00:00.000000,0.29
2024-01-10T00:00:00.000000,0.95
2024-01-11T00:00:00.000000,0.84
2024-01-12T00:00:00.000000,1.09
2024-01-13T00:00:00.000000,0.65
2024-01-14T00:00:00.000000,1.83
2024-01-15T00:00:00.000000,2.27
2024-01-16T00:00:00.000000,1.37
2024-01-17T00:00:00.000000,2.16
2024-01-18T00:00:00.000000,1.16
2024-01-19T00:00:00.000000,1.19
2024-01-20T00:00:00.000000,1.43
2024-01-21T00:00:00.000000,2.25
2024-01-22T00:00:00.000000,0.88
2024-01-23T00:00:00.000000,1.01
2024-01-24T00:00:00.000000,0.73
2024-01-25T00:00:00.000000,1.1
2024-01-26T00:00:00.000000,1.6
2024-01-27T00:00:00.000000,1.24
2024-01-28T00:00:00.000000,0.98
2024-01-29T00:00:00.000000,2.23
2024-01-30T00:00:00.000000,0.97
2024-01-31T00:00:00.000000,1.68
2024-02-01T00:00:00.000000,0.95
2024-02-02T00:00:00.000000,2.8
2024-02-03T00:00:00.000000,3.12
2024-02-04T00:00:00.000000,2.32
2024-02-05T00:00:00.000000,1.5
2024-02-06T00:00:00.000000,3.39
2024-02-07T00:00:00.000000,2.59
2024-02-08T00:00:00.000000,2.06
2024-02-09T00:00:00.000000,2.61
2024-02-10T00:00:00.000000,2.99
2024-02-11T00:00:00.000000,1.27
2024-02-12T00:00:00.000000,2.12
2024-02-13T00:00:00.000000,2.1
2024-02-14T00:00:00.000000,3.63
2024-02-15T00:00:00.000000,0.83
2024-02-16T00:00:00.000000,2.08
2024-02-17T00:00:00.000000,2.5
2024-02-18T00:00:00.000000,1.95
2024-02-19T00:00:00.000000,2.91
2024-02-20T00:00:00.000000,3.7
2024-02-21T00:00:00.000000,2.93
2024-02-22T00:00:00.000000,2.34
2024-02-23T00:00:00.000000,3.12
2024-02-24T00:00:00.000000,4.43
2024-02-25T00:00:00.000000,3.35
2024-02-26T00:00:00.000000,4.09
2024-02-27T00:00:00.000000,1.24
2024-02-28T00:00:00.000000,2.18
2024-02-29T00:00:00.000000,3.32
2024-03-01T00:00:00.000000,4.51
2024-03-02T00:00:00.000000,0.95
2024-03-03T00:00:00.000000,1.87
2024-03-04T00:00:00.000000,4.22
2024-03-05T00:00:00.000000,3.23
2024-03-06T00:00:00.000000,1.38
2024-03-07T00:00:00.000000,5.0
2024-03-08T00:00:00.000000,4.28
2024-03-09T00:00:00.000000,1.31
2024-03-10T00:00:00.000000,2.27
2024-03-11T00:00:00.000000,4.6
2024-03-12T00:00:00.000000,4.49
2024-03-13T00:00:00.000000,5.04
2024-03-14T00:00:00.000000,1.42
2024-03-15T00:00:00.000000,3.24
2024-03-16T00:00:00.000000,2.73
2024-03-17T00:00:00.000000,3.9
2024-03-18T00:00:00.000000,2.53
2024-03-19T00:00:00.000000,2.17
2024-03-20T00:00:00.000000,3.67
2024-03-21T00:00:00.000000,3.76
2024-03-22T00:00:00.000000,1.87
2024-03-23T00:00:00.000000,4.6
2024-03-24T00:00:00.000000,5.72
2024-03-25T00:00:00.000000,5.25
2024-03-26T00:00:00.000000,1.34
2024-03-27T00:00:00.000000,3.28
2024-03-28T00:00:00.000000,5.67
2024-03-29T00:00:00.000000,3.67
2024-03-30T00:00:00.000000,4.77
2024-03-31T00:00:00.000000,4.62
2024-04-01T00:00:00.000000,5.44
2024-04-02T00:00:00.000000,1.47
2024-04-03T00:00:00.000000,0.78
2024-04-04T00:00:00.000000,1.96
2024-04-05T00:00:00.000000,3.48
2024-04-06T00:00:00.000000,6.54
2024-04-07T00:00:00.000000,6.76
2024-04-08T00:00:00.000000,3.48
2024-04-09T00:00:00.000000,6.03
2024-04-10T00:00:00.000000,5.68
2024-04-11T00:00:00.000000,1.13
2024-04-12T00:00:00.000000,1.79
2024-04-13T00:00:00.000000,4.38
2024-04-14T00:00:00.000000,5.19
2024-04-15T00:00:00.000000,6.39
2024-04-16T00:00:00.000000,6.55
2024-04-17T00:00:00.000000,1.0
2024-04-18T00:00:00.000000,2.4
2024-04-19T00:00:00.000000,3.63
2024-04-20T00:00:00.000000,3.66
2024-04-21T00:00:00.000000,4.68
2024-04-22T00:00:00.000000,7.4
2024-04-23T00:00:00.000000,2.97
2024-04-24T00:00:00.000000,4.25
2024-04-25T00:00:00.000000,7.32
2024-04-26T00:00:00.000000,7.59
2024-04-27T00:00:00.000000,2.2
2024-04-28T00:00:00.000000,2.43
2024-04-29T00:00:00.000000,3.81
2024-04-30T00:00:00.000000,3.64
2024-05-01T00:00:00.000000,6.04
2024-05-02T00:00:00.000000,7.43
2024-05-03T00:00:00.000000,3.3
2024-05-04T00:00:00.000000,5.42
2024-05-05T00:00:00.000000,2.27
2024-05-06T00:00:00.000000,6.49
2024-05-07T00:00:00.000000,7.06
2024-05-08T00:00:00.000000,5.56
2024-05-09T00:00:00.000000,5.48
2024-05-10T00:00:00.000000,5.52
2024-05-11T00:00:00.000000,3.8
2024-05-12T00:00:00.000000,5.51
2024-05-13T00:00:00.000000,4.6
2024-05-14T00:00:00.000000,5.24
2024-05-15T00:00:00.000000,5.12
2024-05-16T00:00:00.000000,7.51
2024-05-17T00:00:00.000000,2.49
2024-05-18T00:00:00.000000,5.56
2024-05-19T00:00:00.000000,7.13
2024-05-20T00:00:00.000000,6.65
2024-05-21T00:00:00.000000,6.32
2024-05-22T00:00:00.000000,6.02
2024-05-23T00:00:00.000000,7.78
2024-05-24T00:00:00.000000,8.09
2024-05-25T00:00:00.000000,3.07
2024-05-26T00:00:00.000000,6.44
2024-05-27T00:00:00.000000,4.07
2024-05-28T00:00:00.000000,4.03
2024-05-29T00:00:00.000000,7.38
2024-05-30T00:00:00.000000,8.1
2024-05-31T00:00:00.000000,7.26
2024-06-01T00:00:00.000000,6.9
2024-06-02T00:00:00.000000,2.11
2024-06-03T00:00:00.000000,5.45
2024-06-04T00:00:00.000000,6.81
2024-06-05T00:00:00.000000,4.54
2024-06-06T00:00:00.000000,6.46
2024-06-07T00:00:00.000000,3.96
2024-06-08T00:00:00.000000,5.36
2024-06-09T00:00:00.000000,4.61
2024-06-10T00:00:00.000000,3.51
2024-06-11T00:00:00.000000,5.31
2024-06-12T00:00:00.000000,7.67
2024-06-13T00:00:00.000000,6.72
2024-06-14T00:00:00.000000,7.77
2024-06-15T00:00:00.000000,8.51
2024-06-16T00:00:00.000000,7.45
2024-06-17T00:00:00.000000,6.25
2024-06-18T00:00:00.000000,6.45
2024-06-19T00:00:00.000000,5.76
2024-06-20T00:00:00.000000,6.43
2024-06-21T00:00:00.000000,5.4
2024-06-22T00:00:00.000000,5.0
2024-06-23T00:00:00.000000,4.65
2024-06-24T00:00:00.000000,8.09
2024-06-25T00:00:00.000000,3.55
2024-06-26T00:00:00.000000,3.66
2024-06-27T00:00:00.000000,6.97
2024-06-28T00:00:00.000000,5.1
2024-06-29T00:00:00.000000,2.61
2024-06-30T00:00:00.000000,5.07
2024-07-01T00:00:00.000000,8.57
2024-07-02T00:00:00.000000,6.4
2024-07-03T00:00:00.000000,5.44
2024-07-04T00:00:00.000000,5.67
2024-07-05T00:00:00.000000,5.34
2024-07-06T00:00:00.000000,6.45
2024-07-07T00:00:00.000000,7.61
2024-07-08T00:00:00.000000,6.78
2024-07-09T00:00:00.000000,4.6
2024-07-10T00:00:00.000000,1.96
2024-07-11T00:00:00.000000,4.41
2024-07-12T00:00:00.000000,6.48
2024-07-13T00:00:00.000000,7.57
2024-07-14T00:00:00.000000,5.12
2024-07-15T00:00:00.000000,2.8
2024-07-16T00:00:00.000000,4.45
2024-07-17T00:00:00.000000,5.42
2024-07-18T00:00:00.000000,6.49
2024-07-19T00:00:00.000000,7.58
2024-07-20T00:00:00.000000,7.37
2024-07-21T00:00:00.000000,5.42
2024-07-22T00:00:00.000000,6.21
2024-07-23T00:00:00.000000,6.25
2024-07-24T00:00:00.000000,4.04
2024-07-25T00:00:00.000000,7.0
2024-07-26T00:00:00.000000,7.7
2024-07-27T00:00:00.000000,7.33
2024-07-28T00:00:00.000000,7.26
2024-07-29T00:00:00.000000,7.04
2024-07-30T00:00:00.000000,5.39
2024-07-31T00:00:00.000000,6.64
2024-08-01T00:00:00.000000,6.04
2024-08-02T00:00:00.000000,2.96
2024-08-03T00:00:00.000000,3.03
2024-08-04T00:00:00.000000,4.58
2024-08-05T00:00:00.000000,5.41
2024-08-06T00:00:00.000000,1.83
2024-08-07T00:00:00.000000,7.11
2024-08-08T00:00:00.000000,3.64
2024-08-09T00:00:00.000000,3.91
2024-08-10T00:00:00.000000,5.81
2024-08-11T00:00:00.000000,4.32
2024-08-12T00:00:00.000000,4.82
2024-08-13T00:00:00.000000,6.16
2024-08-14T00:00:00.000000,6.89
2024-08-15T00:00:00.000000,6.7
2024-08-16T00:00:00.000000,3.11
2024-08-17T00:00:00.000000,2.57
2024-08-18T00:00:00.000000,4.54
2024-08-19T00:00:00.000000,2.5
2024-08-20T00:00:00.000000,4.96
2024-08-21T00:00:00.000000,4.22
2024-08-22T00:00:00.000000,5.93
2024-08-23T00:00:00.000000,5.71
2024-08-24T00:00:00.000000,5.39
2024-08-25T00:00:00.000000,6.07
2024-08-26T00:00:00.000000,5.93
2024-08-27T00:00:00.000000,5.19
2024-08-28T00:00:00.000000,3.2
2024-08-29T00:00:00.000000,4.25
2024-08-30T00:00:00.000000,5.89
2024-08-31T00:00:00.000000,4.78
2024-09-01T00:00:00.000000,5.08
2024-09-02T00:00:00.000000,6.04
2024-09-03T00:00:00.000000,6.0
2024-09-04T00:00:00.000000,6.02
2024-09-05T00:00:00.000000,6.01
2024-09-06T00:00:00.000000,1.91
2024-09-07T00:00:00.000000,3.49
2024-09-08T00:00:00.000000,4.89
2024-09-09T00:00:00.000000,2.1
2024-09-10T00:00:00.000000,5.69
2024-09-11T00:00:00.000000,5.53
2024-09-12T00:00:00.000000,5.19
2024-09-13T00:00:00.000000,4.95
2024-09-14T00:00:00.000000,4.98
2024-09-15T00:00:00.000000,5.27
2024-09-16T00:00:00.000000,5.19
2024-09-17T00:00:00.000000,4.8
2024-09-18T00:00:00.000000,3.79
2024-09-19T00:00:00.000000,5.06
2024-09-20T00:00:00.000000,4.2
2024-09-21T00:00:00.000000,3.81
2024-09-22T00:00:00.000000,4.16
2024-09-23T00:00:00.000000,1.88
2024-09-24T00:00:00.000000,1.02
2024-09-25T00:00:00.000000,2.22
2024-09-26T00:00:00.000000,4.51
2024-09-27T00:00:00.000000,4.35
2024-09-28T00:00:00.000000,2.79
2024-09-29T00:00:00.000000,3.94
2024-09-30T00:00:00.000000,4.22
2024-10-01T00:00:00.000000,2.16
2024-10-02T00:00:00.000000,4.39
2024-10-03T00:00:00.000000,4.33
2024-10-04T00:00:00.000000,3.41
2024-10-05T00:00:00.000000,4.51
2024-10-06T00:00:00.000000,2.97
2024-10-07T00:00:00.000000,3.99
2024-10-08T00:00:00.000000,2.72
2024-10-09T00:00:00.000000,2.66
2024-10-10T00:00:00.000000,4.0
2024-10-11T00:00:00.000000,3.92
2024-10-12T00:00:00.000000,4.18
2024-10-13T00:00:00.000000,1.29
2024-10-14T00:00:00.000000,3.21
2024-10-15T00:00:00.000000,3.23
2024-10-16T00:00:00.000000,3.14
2024-10-17T00:00:00.000000,3.8
2024-10-18T00:00:00.000000,3.81
2024-10-19T00:00:00.000000,3.7
2024-10-20T00:00:00.000000,3.6
2024-10-21T00:00:00.000000,3.4
2024-10-22T00:00:00.000000,3.41
2024-10-23T00:00:00.000000,2.0
2024-10-24T00:00:00.000000,3.12
2024-10-25T00:00:00.000000,1.0
2024-10-26T00:00:00.000000,3.03
2024-10-27T00:00:00.000000,2.68
2024-10-28T00:00:00.000000,2.25
2024-10-29T00:00:00.000000,0.81
2024-10-30T00:00:00.000000,2.29
2024-10-31T00:00:00.000000,1.38
2024-11-01T00:00:00.000000,1.7
2024-11-02T00:00:00.000000,2.78
2024-11-03T00:00:00.000000,2.29
2024-11-04T00:00:00.000000,1.03
2024-11-05T00:00:00.000000,2.09
2024-11-06T00:00:00.000000,1.84
2024-11-07T00:00:00.000000,2.79
2024-11-08T00:00:00.000000,1.85
2024-11-09T00:00:00.000000,2.74
2024-11-10T00:00:00.000000,0.31
2024-11-11T00:00:00.000000,0.64
2024-11-12T00:00:00.000000,2.64
2024-11-13T00:00:00.000000,2.42
2024-11-14T00:00:00.000000,1.19
2024-11-15T00:00:00.000000,1.05
2024-11-16T00:00:00.000000,1.27
2024-11-17T00:00:00.000000,0.82
2024-11-18T00:00:00.000000,2.37
2024-11-19T00:00:00.000000,0.85
2024-11-20T00:00:00.000000,0.63
2024-11-21T00:00:00.000000,0.97
2024-11-22T00:00:00.000000,0.83
2024-11-23T00:00:00.000000,1.37
2024-11-24T00:00:00.000000,1.31
2024-11-25T00:00:00.000000,1.19
2024-11-26T00:00:00.000000,1.35
2024-11-27T00:00:00.000000,2.05
2024-11-28T00:00:00.000000,1.26
2024-11-29T00:00:00.000000,1.21
2024-11-30T00:00:00.000000,1.37
2024-12-01T00:00:00.000000,1.49
2024-12-02T00:00:00.000000,2.17
2024-12-03T00:00:00.000000,2.15
2024-12-04T00:00:00.000000,0.34
2024-12-05T00:00:00.000000,0.94
2024-12-06T00:00:00.000000,1.42
2024-12-07T00:00:00.000000,0.71
2024-12-08T00:00:00.000000,1.44
2024-12-09T00:00:00.000000,0.38
2024-12-10T00:00:00.000000,1.02
2024-12-11T00:00:00.000000,1.4
2024-12-12T00:00:00.000000,2.1
2024-12-13T00:00:00.000000,2.1
2024-12-14T00:00:00.000000,2.07
2024-12-15T00:00:00.000000,0.92
2024-12-16T00:00:00.000000,1.13
2024-12-17T00:00:00.000000,0.79
2024-12-18T00:00:00.000000,0.5
2024-12-19T00:00:00.000000,1.58
2024-12-20T00:00:00.000000,0.91
2024-12-21T00:00:00.000000,1.96
2024-12-22T00:00:00.000000,1.93
2024-12-23T00:00:00.000000,0.64
2024-12-24T00:00:00.000000,0.82
2024-12-25T00:00:00.000000,0.78
2024-12-26T00:00:00.000000,0.96
2024-12-27T00:00:00.000000,1.27
2024-12-28T00:00:00.000000,1.46
2024-12-29T00:00:00.000000,0.28
2024-12-30T00:00:00.000000,1.05
2024-12-31T00:00:00.000000,1.56
