Date,Irradiance (kWh/m^2/day)
2023-01-01T00:00:00.000000,0.74
2023-01-02T00:00:00.000000,1.34
2023-01-03T00:00:00.000000,0.59
2023-01-04T00:00:00.000000,0.57
2023-01-05T00:00:00.000000,1.0
2023-01-06T00:00:00.000000,0.84
2023-01-07T00:00:00.000000,1.35
2023-01-08T00:00:00.000000,0.72
2023-01-09T00:00:00.000000,1.53
2023-01-10T00:00:00.000000,0.74
2023-01-11T00:00:00.000000,0.94
2023-01-12T00:00:00.000000,0.67
2023-01-13T00:00:00.000000,0.7
2023-01-14T00:00:00.000000,2.32
2023-01-15T00:00:00.000000,2.37
2023-01-16T00:00:00.000000,2.3
2023-01-17T00:00:00.000000,0.65
2023-01-18T00:00:00.000000,0.92
2023-01-19T00:00:00.000000,0.34
2023-01-20T00:00:00.000000,1.18
2023-01-21T00:00:00.000000,0.78
2023-01-22T00:00:00.000000,0.47
2023-01-23T00:00:00.000000,1.38
2023-01-24T00:00:00.000000,1.46
2023-01-25T00:00:00.000000,0.58
2023-01-26T00:00:00.000000,1.51
2023-01-27T00:00:00.000000,1.42
2023-01-28T00:00:00.000000,1.56
2023-01-29T00:00:00.000000,0.86
2023-01-30T00:00:00.000000,1.51
2023-01-31T00:00:00.000000,2.47
2023-02-01T00:00:00.000000,2.08
2023-02-02T00:00:00.000000,2.32
2023-02-03T00:00:00.000000,2.53
2023-02-04T00:00:00.000000,1.2
2023-02-05T00:00:00.000000,1.35
2023-02-06T00:00:00.000000,2.11
2023-02-07T00:00:00.000000,1.18
2023-02-08T00:00:00.000000,3.23
2023-02-09T00:00:00.000000,0.51
2023-02-10T00:00:00.000000,0.96
2023-02-11T00:00:00.000000,2.11
2023-02-12T00:00:00.000000,3.51
2023-02-13T00:00:00.000000,3.4
2023-02-14T00:00:00.000000,3.71
2023-02-15T00:00:00.000000,1.28
2023-02-16T00:00:00.000000,1.24
2023-02-17T00:00:00.000000,2.66
2023-02-18T00:00:00.000000,2.36
2023-02-19T00:00:00.000000,3.13
2023-02-20T00:00:00.000000,3.12
2023-02-21T00:00:00.000000,2.62
2023-02-22T00:00:00.000000,1.05
2023-02-23T00:00:00.000000,0.68
2023-02-24T00:00:00.000000,3.3
2023-02-25T00:00:00.000000,2.24
2023-02-26T00:00:00.000000,2.86
2023-02-27T00:00:00.000000,2.22
2023-02-28T00:00:00.000000,1.44
2023-03-01T00:00:00.000000,1.63
2023-03-02T00:00:00.000000,2.86
2023-03-03T00:00:00.000000,2.48
2023-03-04T00:00:00.000000,3.63
2023-03-05T00:00:00.000000,2.67
2023-03-06T00:00:00.000000,2.22
2023-03-07T00:00:00.000000,5.12
2023-03-08T00:00:00.000000,4.9
2023-03-09T00:00:00.000000,4.86
2023-03-10T00:00:00.000000,1.32
2023-03-11T00:00:00.000000,3.01
2023-03-12T00:00:00.000000,2.01
2023-03-13T00:00:00.000000,2.77
2023-03-14T00:00:00.000000,3.72
2023-03-15T00:00:00.000000,5.61
2023-03-16T00:00:00.000000,3.75
2023-03-17T00:00:00.000000,1.98
2023-03-18T00:00:00.000000,3.66
2023-03-19T00:00:00.000000,4.13
2023-03-20T00:00:00.000000,5.44
2023-03-21T00:00:00.000000,4.0
