Date,Irradiance (kWh/m^2/day)
2021-01-01T00:00:00.000000,0.81
2021-01-02T00:00:00.000000,0.95
2021-01-03T00:00:00.000000,0.44
2021-01-04T00:00:00.000000,0.62
2021-01-05T00:00:00.000000,0.64
2021-01-06T00:00:00.000000,1.06
2021-01-07T00:00:00.000000,1.45
2021-01-08T00:00:00.000000,1.47
2021-01-09T00:00:00.000000,2.0
2021-01-10T00:00:00.000000,1.03
2021-01-11T00:00:00.000000,0.92
2021-01-12T00:00:00.000000,0.64
2021-01-13T00:00:00.000000,0.8
2021-01-14T00:00:00.000000,1.02
2021-01-15T00:00:00.000000,1.03
2021-01-16T00:00:00.000000,1.88
2021-01-17T00:00:00.000000,1.09
2021-01-18T00:00:00.000000,1.53
2021-01-19T00:00:00.000000,1.54
2021-01-20T00:00:00.000000,1.59
2021-01-21T00:00:00.000000,1.24
2021-01-22T00:00:00.000000,1.46
2021-01-23T00:00:00.000000,2.56
2021-01-24T00:00:00.000000,1.51
2021-01-25T00:00:00.000000,2.32
2021-01-26T00:00:00.000000,0.58
2021-01-27T00:00:00.000000,1.96
2021-01-28T00:00:00.000000,2.05
2021-01-29T00:00:00.000000,1.35
2021-01-30T00:00:00.000000,2.37
2021-01-31T00:00:00.000000,1.42
2021-02-01T00:00:00.000000,1.35
2021-02-02T00:00:00.000000,1.65
2021-02-03T00:00:00.000000,2.9
2021-02-04T00:00:00.000000,2.96
2021-02-05T00:00:00.000000,1.03
2021-02-06T00:00:00.000000,1.76
2021-02-07T00:00:00.000000,2.31
2021-02-08T00:00:00.000000,3.45
2021-02-09T00:00:00.000000,2.37
2021-02-10T00:00:00.000000,3.19
2021-02-11T00:00:00.000000,3.03
2021-02-12T00:00:00.000000,2.42
2021-02-13T00:00:00.000000,1.54
2021-02-14T00:00:00.000000,3.08
2021-02-15T00:00:00.000000,1.92
2021-02-16T00:00:00.000000,1.25
2021-02-17T00:00:00.000000,2.92
2021-02-18T00:00:00.000000,1.45
2021-02-19T00:00:00.000000,1.69
2021-02-20T00:00:00.000000,2.48
2021-02-21T00:00:00.000000,3.48
2021-02-22T00:00:00.000000,1.03
2021-02-23T00:00:00.000000,1.43
2021-02-24T00:00:00.000000,2.54
2021-02-25T00:00:00.000000,4.38
2021-02-26T00:00:00.000000,4.2
2021-02-27T00:00:00.000000,2.74
2021-02-28T00:00:00.000000,1.49
2021-03-01T00:00:00.000000,2.22
2021-03-02T00:00:00.000000,3.45
2021-03-03T00:00:00.000000,4.08
2021-03-04T00:00:00.000000,4.42
2021-03-05T00:00:00.000000,4.11
2021-03-06T00:00:00.000000,3.09
2021-03-07T00:00:00.000000,4.18
2021-03-08T00:00:00.000000,3.31
2021-03-09T00:00:00.000000,4.59
2021-03-10T00:00:00.000000,3.94
2021-03-11T00:00:00.000000,2.74
2021-03-12T00:00:00.000000,4.91
2021-03-13T00:00:00.000000,5.41
2021-03-14T00:00:00.000000,5.08
2021-03-15T00:00:00.000000,5.47
2021-03-16T00:00:00.000000,2.4
2021-03-17T00:00:00.000000,4.32
2021-03-18T00:00:00.000000,2.05
2021-03-19T00:00:00.000000,5.66
2021-03-20T00:00:00.000000,5.49
2021-03-21T00:00:00.000000,5.72
2021-03-22T00:00:00.000000,5.62
2021-03-23T00:00:00.000000,4.25
2021-03-24T00:00:00.000000,4.04
2021-03-25T00:00:00.000000,5.08
2021-03-26T00:00:00.000000,2.06
2021-03-27T00:00:00.000000,2.64
2021-03-28T00:00:00.000000,1.38
2021-03-29T00:00:00.000000,5.15
2021-03-30T00:00:00.000000,5.52
2021-03-31T00:00:00.000000,2.87
2021-04-01T00:00:00.000000,4.73
2021-04-02T00:00:00.000000,6.26
2021-04-03T00:00:00.000000,3.39
2021-04-04T00:00:00.000000,6.39
2021-04-05T00:00:00.000000,4.1
2021-04-06T00:00:00.000000,4.91
2021-04-07T00:00:00.000000,6.12
2021-04-08T00:00:00.000000,6.26
2021-04-09T00:00:00.000000,3.61
2021-04-10T00:00:00.000000,5.08
2021-04-11T00:00:00.000000,2.32
2021-04-12T00:00:00.000000,1.83
2021-04-13T00:00:00.000000,4.15
2021-04-14T00:00:00.000000,6.15
2021-04-15T00:00:00.000000,2.74
2021-04-16T00:00:00.000000,2.84
2021-04-17T00:00:00.000000,3.37
2021-04-18T00:00:00.000000,4.55
2021-04-19T00:00:00.000000,5.19
2021-04-20T00:00:00.000000,3.36
