Date,Irradiance (kWh/m^2/day)
2016-01-01T00:00:00.000000,1.08
2016-01-02T00:00:00.000000,0.53
2016-01-03T00:00:00.000000,1.07
2016-01-04T00:00:00.000000,1.84
2016-01-05T00:00:00.000000,2.12
2016-01-06T00:00:00.000000,1.92
2016-01-07T00:00:00.000000,1.78
2016-01-08T00:00:00.000000,1.22
2016-01-09T00:00:00.000000,0.82
2016-01-10T00:00:00.000000,0.34
2016-01-11T00:00:00.000000,2.08
2016-01-12T00:00:00.000000,0.91
2016-01-13T00:00:00.000000,1.4
2016-01-14T00:00:00.000000,1.42
2016-01-15T00:00:00.000000,0.79
2016-01-16T00:00:00.000000,1.68
2016-01-17T00:00:00.000000,1.01
2016-01-18T00:00:00.000000,1.84
2016-01-19T00:00:00.000000,1.9
2016-01-20T00:00:00.000000,1.12
2016-01-21T00:00:00.000000,1.59
2016-01-22T00:00:00.000000,1.86
2016-01-23T00:00:00.000000,2.31
2016-01-24T00:00:00.000000,1.25
2016-01-25T00:00:00.000000,1.6
2016-01-26T00:00:00.000000,0.69
2016-01-27T00:00:00.000000,2.13
2016-01-28T00:00:00.000000,0.93
2016-01-29T00:00:00.000000,2.58
2016-01-30T00:00:00.000000,2.05
2016-01-31T00:00:00.000000,1.42
2016-02-01T00:00:00.000000,2.88
2016-02-02T00:00:00.000000,2.24
2016-02-03T00:00:00.000000,1.63
2016-02-04T00:00:00.000000,2.71
2016-02-05T00:00:00.000000,1.96
2016-02-06T00:00:00.000000,2.53
2016-02-07T00:00:00.000000,2.57
2016-02-08T00:00:00.000000,1.71
2016-02-09T00:00:00.000000,0.95
2016-02-10T00:00:00.000000,1.95
2016-02-11T00:00:00.000000,2.79
2016-02-12T00:00:00.000000,1.86
2016-02-13T00:00:00.000000,2.53
2016-02-14T00:00:00.000000,2.3
2016-02-15T00:00:00.000000,1.1
2016-02-16T00:00:00.000000,0.84
2016-02-17T00:00:00.000000,1.96
2016-02-18T00:00:00.000000,3.29
2016-02-19T00:00:00.000000,2.03
2016-02-20T00:00:00.000000,2.98
2016-02-21T00:00:00.000000,2.91
2016-02-22T00:00:00.000000,3.99
2016-02-23T00:00:00.000000,3.29
2016-02-24T00:00:00.000000,0.75
2016-02-25T00:00:00.000000,1.26
2016-02-26T00:00:00.000000,3.9
2016-02-27T00:00:00.000000,3.34
2016-02-28T00:00:00.000000,4.06
2016-02-29T00:00:00.000000,2.5
2016-03-01T00:00:00.000000,1.2
2016-03-02T00:00:00.000000,3.6
2016-03-03T00:00:00.000000,2.33
2016-03-04T00:00:00.000000,2.88
2016-03-05T00:00:00.000000,2.62
2016-03-06T00:00:00.000000,3.89
2016-03-07T00:00:00.000000,3.12
2016-03-08T00:00:00.000000,3.2
2016-03-09T00:00:00.000000,2.42
2016-03-10T00:00:00.000000,0.92
2016-03-11T00:00:00.000000,3.91
2016-03-12T00:00:00.000000,4.45
2016-03-13T00:00:00.000000,2.75
2016-03-14T00:00:00.000000,0.89
2016-03-15T00:00:00.000000,1.55
2016-03-16T00:00:00.000000,1.92
2016-03-17T00:00:00.000000,3.39
2016-03-18T00:00:00.000000,3.3
2016-03-19T00:00:00.000000,5.62
2016-03-20T00:00:00.000000,5.41
2016-03-21T00:00:00.000000,3.99
2016-03-22T00:00:00.000000,2.2
2016-03-23T00:00:00.000000,1.18
2016-03-24T00:00:00.000000,1.23
2016-03-25T00:00:00.000000,2.71
2016-03-26T00:00:00.000000,5.41
2016-03-27T00:00:00.000000,5.5
2016-03-28T00:00:00.000000,1.32
2016-03-29T00:00:00.000000,6.48
2016-03-30T00:00:00.000000,5.04
2016-03-31T00:00:00.000000,1.2
2016-04-01T00:00:00.000000,2.84
2016-04-02T00:00:00.000000,3.67
2016-04-03T00:00:00.000000,3.87
2016-04-04T00:00:00.000000,2.94
2016-04-05T00:00:00.000000,6.19
2016-04-06T00:00:00.000000,1.26
2016-04-07T00:00:00.000000,2.89
2016-04-08T00:00:00.000000,5.09
2016-04-09T00:00:00.000000,6.55
2016-04-10T00:00:00.000000,2.7
2016-04-11T00:00:00.000000,1.62
2016-04-12T00:00:00.000000,4.28
2016-04-13T00:00:00.000000,5.79
2016-04-14T00:00:00.000000,7.06
2016-04-15T00:00:00.000000,6.99
2016-04-16T00:00:00.000000,6.7
2016-04-17T00:00:00.000000,7.11
2016-04-18T00:00:00.000000,6.65
2016-04-19T00:00:00.000000,7.05
2016-04-20T00:00:00.000000,7.18
2016-04-21T00:00:00.000000,2.8
2016-04-22T00:00:00.000000,4.22
2016-04-23T00:00:00.000000,7.49
2016-04-24T00:00:00.000000,5.45
2016-04-25T00:00:00.000000,3.68
2016-04-26T00:00:00.000000,2.01
2016-04-27T00:00:00.000000,7.4
2016-04-28T00:00:00.000000,3.65
2016-04-29T00:00:00.000000,4.25
2016-04-30T00:00:00.000000,6.15
2016-05-01T00:00:00.000000,1.51
2016-05-02T00:00:00.000000,3.8
2016-05-03T00:00:00.000000,5.61
2016-05-04T00:00:00.000000,6.48
2016-05-05T00:00:00.000000,5.08
2016-05-06T00:00:00.000000,7.45
2016-05-07T00:00:00.000000,4.27
2016-05-08T00:00:00.000000,5.14
2016-05-09T00:00:00.000000,7.73
2016-05-10T00:00:00.000000,6.43
2016-05-11T00:00:00.000000,6.17
2016-05-12T00:00:00.000000,6.26
2016-05-13T00:00:00.000000,6.36
2016-05-14T00:00:00.000000,3.01
2016-05-15T00:00:00.000000,4.54
2016-05-16T00:00:00.000000,6.97
2016-05-17T00:00:00.000000,6.71
2016-05-18T00:00:00.000000,7.57
2016-05-19T00:00:00.000000,5.94
2016-05-20T00:00:00.000000,7.42
2016-05-21T00:00:00.000000,5.28
2016-05-22T00:00:00.000000,7.33
2016-05-23T00:00:00.000000,8.12
2016-05-24T00:00:00.000000,8.16
2016-05-25T00:00:00.000000,5.34
2016-05-26T00:00:00.000000,5.0
2016-05-27T00:00:00.000000,6.44
2016-05-28T00:00:00.000000,7.0
2016-05-29T00:00:00.000000,5.5
2016-05-30T00:00:00.000000,7.31
2016-05-31T00:00:00.000000,7.8
2016-06-01T00:00:00.000000,7.78
2016-06-02T00:00:00.000000,6.26
2016-06-03T00:00:00.000000,7.61
2016-06-04T00:00:00.000000,7.37
2016-06-05T00:00:00.000000,3.77
2016-06-06T00:00:00.000000,7.08
2016-06-07T00:00:00.000000,5.75
2016-06-08T00:00:00.000000,4.95
2016-06-09T00:00:00.000000,7.73
2016-06-10T00:00:00.000000,7.98
2016-06-11T00:00:00.000000,7.09
2016-06-12T00:00:00.000000,8.1
2016-06-13T00:00:00.000000,5.12
2016-06-14T00:00:00.000000,8.56
2016-06-15T00:00:00.000000,5.38
2016-06-16T00:00:00.000000,5.98
2016-06-17T00:00:00.000000,8.39
2016-06-18T00:00:00.000000,7.79
2016-06-19T00:00:00.000000,7.73
2016-06-20T00:00:00.000000,6.7
2016-06-21T00:00:00.000000,7.6
2016-06-22T00:00:00.000000,8.15
2016-06-23T00:00:00.000000,5.84
2016-06-24T00:00:00.000000,8.36
2016-06-25T00:00:00.000000,8.3
2016-06-26T00:00:00.000000,6.61
2016-06-27T00:00:00.000000,7.61
2016-06-28T00:00:00.000000,4.16
2016-06-29T00:00:00.000000,7.36
2016-06-30T00:00:00.000000,8.35
2016-07-01T00:00:00.000000,4.42
2016-07-02T00:00:00.000000,7.65
2016-07-03T00:00:00.000000,7.31
2016-07-04T00:00:00.000000,7.55
2016-07-05T00:00:00.000000,6.86
2016-07-06T00:00:00.000000,7.01
2016-07-07T00:00:00.000000,5.96
2016-07-08T00:00:00.000000,5.47
2016-07-09T00:00:00.000000,6.3
2016-07-10T00:00:00.000000,7.57
2016-07-11T00:00:00.000000,5.66
2016-07-12T00:00:00.000000,7.11
2016-07-13T00:00:00.000000,7.0
2016-07-14T00:00:00.000000,4.98
2016-07-15T00:00:00.000000,6.21
2016-07-16T00:00:00.000000,6.05
2016-07-17T00:00:00.000000,6.72
2016-07-18T00:00:00.000000,6.65
2016-07-19T00:00:00.000000,6.46
2016-07-20T00:00:00.000000,7.47
2016-07-21T00:00:00.000000,6.68
2016-07-22T00:00:00.000000,7.29
2016-07-23T00:00:00.000000,7.5
2016-07-24T00:00:00.000000,3.79
2016-07-25T00:00:00.000000,4.77
2016-07-26T00:00:00.000000,7.42
2016-07-27T00:00:00.000000,6.81
2016-07-28T00:00:00.000000,5.08
2016-07-29T00:00:00.000000,5.78
2016-07-30T00:00:00.000000,5.39
2016-07-31T00:00:00.000000,3.8
2016-08-01T00:00:00.000000,6.19
2016-08-02T00:00:00.000000,7.24
2016-08-03T00:00:00.000000,7.24
2016-08-04T00:00:00.000000,7.35
2016-08-05T00:00:00.000000,5.78
2016-08-06T00:00:00.000000,6.74
2016-08-07T00:00:00.000000,6.85
2016-08-08T00:00:00.000000,7.49
2016-08-09T00:00:00.000000,6.45
2016-08-10T00:00:00.000000,6.37
2016-08-11T00:00:00.000000,5.68
2016-08-12T00:00:00.000000,4.53
2016-08-13T00:00:00.000000,3.31
2016-08-14T00:00:00.000000,4.59
2016-08-15T00:00:00.000000,4.57
2016-08-16T00:00:00.000000,3.16
2016-08-17T00:00:00.000000,5.31
2016-08-18T00:00:00.000000,6.15
2016-08-19T00:00:00.000000,6.65
2016-08-20T00:00:00.000000,6.2
2016-08-21T00:00:00.000000,5.1
2016-08-22T00:00:00.000000,5.89
