time,is_weekend,is_holiday,period,tou_rate,tiered_rate,kWh
2024-01-09 12:00:00,False,False,winter,0.122,0.103,0.027
2024-01-09 13:00:00,False,False,winter,0.122,0.103,0.014
2024-01-09 14:00:00,False,False,winter,0.122,0.103,0.007
2024-01-09 15:00:00,False,False,winter,0.122,0.103,0.001
2024-01-09 16:00:00,False,False,winter,0.122,0.103,0.0
2024-01-09 18:00:00,False,False,winter,0.182,0.103,0.0
2024-01-10 04:00:00,False,False,winter,0.087,0.103,0.0
2024-01-10 07:00:00,False,False,winter,0.182,0.103,0.0
2024-01-10 08:00:00,False,False,winter,0.182,0.103,0.103
2024-01-10 09:00:00,False,False,winter,0.182,0.103,0.422
2024-01-10 10:00:00,False,False,winter,0.182,0.103,0.449
2024-01-10 11:00:00,False,False,winter,0.182,0.103,0.877
2024-01-10 12:00:00,False,False,winter,0.122,0.103,1.249
2024-01-10 13:00:00,False,False,winter,0.122,0.103,0.311
2024-01-10 14:00:00,False,False,winter,0.122,0.103,0.634
2024-01-10 15:00:00,False,False,winter,0.122,0.103,0.152
2024-01-10 16:00:00,False,False,winter,0.122,0.103,0.005
2024-01-10 18:00:00,False,False,winter,0.182,0.103,0.0
2024-01-11 04:00:00,False,False,winter,0.087,0.103,0.0
2024-01-11 08:00:00,False,False,winter,0.182,0.103,0.005
2024-01-11 09:00:00,False,False,winter,0.182,0.103,0.126
2024-01-11 10:00:00,False,False,winter,0.182,0.103,0.871
2024-01-11 11:00:00,False,False,winter,0.182,0.103,1.095
2024-01-11 12:00:00,False,False,winter,0.122,0.103,1.046
2024-01-11 13:00:00,False,False,winter,0.122,0.103,0.903
2024-01-11 14:00:00,False,False,winter,0.122,0.103,0.452
2024-01-11 15:00:00,False,False,winter,0.122,0.103,0.187
2024-01-11 16:00:00,False,False,winter,0.122,0.103,0.005
2024-01-11 18:00:00,False,False,winter,0.182,0.103,0.0
2024-01-12 04:00:00,False,False,winter,0.087,0.103,0.0
2024-01-12 08:00:00,False,False,winter,0.182,0.103,0.048
2024-01-12 09:00:00,False,False,winter,0.182,0.103,0.248
2024-01-12 10:00:00,False,False,winter,0.182,0.103,0.525
2024-01-12 11:00:00,False,False,winter,0.182,0.103,0.738
2024-01-12 12:00:00,False,False,winter,0.122,0.103,1.1
2024-01-12 13:00:00,False,False,winter,0.122,0.103,0.51
2024-01-12 14:00:00,False,False,winter,0.122,0.103,0.383
2024-01-12 15:00:00,False,False,winter,0.122,0.103,0.175
2024-01-12 16:00:00,False,False,winter,0.122,0.103,0.006
2024-01-12 18:00:00,False,False,winter,0.182,0.103,0.0
2024-01-13 04:00:00,True,False,winter,0.087,0.103,0.0
2024-01-13 07:00:00,True,False,winter,0.087,0.103,0.0
2024-01-13 08:00:00,True,False,winter,0.087,0.103,0.366
2024-01-13 09:00:00,True,False,winter,0.087,0.103,0.304
2024-01-13 10:00:00,True,False,winter,0.087,0.103,0.657
2024-01-13 11:00:00,True,False,winter,0.087,0.103,0.441
2024-01-13 12:00:00,True,False,winter,0.087,0.103,0.382
2024-01-13 13:00:00,True,False,winter,0.087,0.103,0.493
2024-01-13 14:00:00,True,False,winter,0.087,0.103,0.605
2024-01-13 15:00:00,True,False,winter,0.087,0.103,0.424
